,Dataset,Taxonomic Level,Traita,Taxonomyb,BMI              p valuec,BMI               q valued,Direction of association (Higher in)e,Permutation p valuef,Ag,A 95% CIh,Ci,C 95% CIj,Ek,E 95% CIl,rMZm,rDZn,2*(rMZ-rDZ)o,Unnamed: 17,Unnamed: 18,Unnamed: 19,taxa_or_feature,lower_in,higher_in
0,TwinsUK,OTU,4349261,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,2.53636e-07,3.84258e-05,Lean,0.0465,0.268487968,(0?0.38),3.89e-13,(0?0.22),0.731512032,(0.62?0.86),0.293830967,0.104401633,0.378858668,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,ob,control
1,TwinsUK,Class,k__Bacteria;p__Tenericutes;c__RF3,nan,2.24639e-07,3.84258e-05,Lean,0.0002,0.252833617,(0.1?0.37),3.37e-14,(0?0),0.747166383,(0.63?0.88),0.352077993,-0.02855576,0.761267506,,,,k__Bacteria;p__Tenericutes;c__RF3,ob,control
2,TwinsUK,Order,k__Bacteria;p__Tenericutes;c__RF3;o__ML615J;28,nan,2.24639e-07,3.84258e-05,Lean,0.0002,0.252833617,(0.1?0.37),3.37e-14,(0?0),0.747166383,(0.63?0.88),0.352077993,-0.02855576,0.761267506,,,,k__Bacteria;p__Tenericutes;c__RF3;o__ML615J;28,ob,control
3,TwinsUK,Family,k__Bacteria;p__Tenericutes;c__RF3;o__ML615J;28;f__,nan,2.24639e-07,3.84258e-05,Lean,0.0002,0.252833617,(0.1?0.37),3.37e-14,(0?0),0.747166383,(0.63?0.88),0.352077993,-0.02855576,0.761267506,,,,k__Bacteria;p__Tenericutes;c__RF3;o__ML615J;28;f__,ob,control
4,TwinsUK,Genus,k__Bacteria;p__Tenericutes;c__RF3;o__ML615J;28;f__;g__,nan,2.24639e-07,3.84258e-05,Lean,0.0002,0.252833617,(0.1?0.37),3.37e-14,(0?0),0.747166383,(0.63?0.88),0.352077993,-0.02855576,0.761267506,,,,k__Bacteria;p__Tenericutes;c__RF3;o__ML615J;28;f__;g__,ob,control
5,TwinsUK,OTU,4377149,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,7.09332e-08,3.84258e-05,Lean,0.728,4.38e-13,(0?0),0.128660392,(0?0.22),0.871339608,(0.78?0.97),0.130600107,0.128982623,0.003234968,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,ob,control
6,TwinsUK,OTU,300620,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,5.12213e-07,6.65145e-05,Lean,0.182,0.172888264,(0?0.3),0.004560478,(0?0.21),0.822551258,(0.7?0.96),0.182977743,0.088285972,0.189383542,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,ob,control
7,TwinsUK,Phylum,k__Bacteria;p__Tenericutes,nan,6.62894e-07,7.53214e-05,Lean,0.0066,0.264666897,(0.06?0.38),9.04e-14,(0?0),0.735333103,(0.62?0.86),0.320917449,0.05291663,0.536001637,,,,k__Bacteria;p__Tenericutes,ob,control
8,TwinsUK,OTU,173876,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,9.62109e-07,9.7173e-05,Lean,0.6555,6.39e-12,(0?0),0.11308849,(0?0.21),0.88691151,(0.76?0.98),0.105870954,0.120384759,-0.02902761,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,ob,control
9,TwinsUK,Family,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae,nan,1.38817e-06,0.000126184,Lean,0.001,0.381940264,(0.21?0.49),4.2e-13,(0?0.11),0.618059736,(0.51?0.74),0.437752545,0.090711647,0.694081797,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae,ob,control
10,TwinsUK,Genus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__,nan,1.55246e-06,0.000128289,Lean,0.0011,0.388470691,(0.21?0.5),1.56e-17,(0?0),0.611529309,(0.5?0.73),0.440227014,0.100142674,0.68016868,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__,ob,control
11,TwinsUK,OTU,192741,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,2.43047e-06,0.000184108,Lean,0.3829,0.060178423,(0?0.28),0.082654605,(0?0.22),0.857166972,(0.72?0.97),0.143951305,0.11425504,0.059392531,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,ob,control
12,TwinsUK,OTU,178845,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,3.11949e-06,0.000218124,Lean,0.1265,0.231373767,(0?0.45),0.102611806,(0?0.33),0.666014427,(0.55?0.8),0.333649778,0.218697663,0.229904231,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,ob,control
13,TwinsUK,OTU,4412540,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,4.61613e-06,0.000262254,Lean,0.0428,0.295776598,(0.04?0.41),2.59e-15,(0?0),0.704223402,(0.59?0.82),0.334935269,0.102118271,0.465633995,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,ob,control
14,TwinsUK,Class,k__Bacteria;p__Tenericutes;c__Mollicutes,nan,4.22011e-06,0.000262254,Lean,0.0576,0.242305901,(0?0.36),1.47e-14,(0?0.21),0.757694099,(0.64?0.89),0.268812803,0.092685369,0.352254869,,,,k__Bacteria;p__Tenericutes;c__Mollicutes,ob,control
15,TwinsUK,OTU,316732,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__,4.34951e-06,0.000262254,Lean,0.1108,0.221984063,(0?0.34),6.73e-12,(0?0),0.778015937,(0.66?0.9),0.240851425,0.103164444,0.275373963,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__,ob,control
16,TwinsUK,OTU,4450214,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,7.15898e-06,0.000282797,Lean,0.0567,0.288727249,(0?0.4),8.04e-13,(0?0.23),0.711272751,(0.6?0.84),0.309933998,0.124157298,0.371553399,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,ob,control
17,TwinsUK,OTU,537219,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,7.33869e-06,0.000282797,Lean,0.0449,0.265863143,(0?0.38),0.0,(0?0),0.734136857,(0.62?0.87),0.284318235,0.107992591,0.352651289,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,ob,control
18,TwinsUK,Order,k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39,nan,7.46659e-06,0.000282797,Lean,0.1151,0.234128887,(0?0.37),0.022182071,(0?0.26),0.743689042,(0.63?0.88),0.265781046,0.13831566,0.254930771,,,,k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39,ob,control
19,TwinsUK,Family,k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__,nan,7.46659e-06,0.000282797,Lean,0.1151,0.234128887,(0?0.37),0.022182071,(0?0.26),0.743689042,(0.63?0.88),0.265781046,0.13831566,0.254930771,,,,k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__,ob,control
20,TwinsUK,Genus,k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__;g__,nan,7.46659e-06,0.000282797,Lean,0.1151,0.234128887,(0?0.37),0.022182071,(0?0.26),0.743689042,(0.63?0.88),0.265781046,0.13831566,0.254930771,,,,k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__;g__,ob,control
21,TwinsUK,OTU,4402903,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,7.00236e-06,0.000282797,Lean,0.026,0.18641623,(0?0.31),1.78e-13,(0?0),0.81358377,(0.69?0.94),0.250824454,0.003451497,0.494745915,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,ob,control
22,TwinsUK,OTU,173927,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,6.21732e-06,0.000282797,Lean,0.4018,0.048092261,(0?0.27),0.08162407,(0?0.21),0.870283669,(0.73?0.98),0.128637646,0.10716925,0.042936793,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,ob,control
23,TwinsUK,OTU,181059,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,5.99224e-06,0.000282797,Lean,0.8497,4.48e-15,(0?0.21),0.119484139,(0?0.21),0.880515861,(0.77?0.98),0.071020763,0.156888262,-0.171734997,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,ob,control
24,TwinsUK,Family,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae,nan,9.33028e-06,0.000339249,Lean,0.014,0.290993023,(0.07?0.41),6.63e-14,(0?0.16),0.709006977,(0.59?0.83),0.333150809,0.076026156,0.514249306,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae,ob,control
25,TwinsUK,Family,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__,nan,1.18658e-05,0.00038986,Lean,0.0152,0.291369163,(0.05?0.4),0.0,(0?0),0.708630837,(0.6?0.83),0.329820231,0.094368293,0.470903877,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__,ob,control
26,TwinsUK,Genus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,nan,1.18658e-05,0.00038986,Lean,0.0152,0.291369163,(0.05?0.4),0.0,(0?0),0.708630837,(0.6?0.83),0.329820231,0.094368293,0.470903877,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,ob,control
27,TwinsUK,Genus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium,nan,1.24378e-05,0.00038986,Lean,0.0161,0.278663074,(0.06?0.39),9.1e-15,(0?0.16),0.721336926,(0.61?0.85),0.320952162,0.069842298,0.502219727,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium,ob,control
28,TwinsUK,OTU,553080,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,1.21849e-05,0.00038986,Lean,0.0517,0.252496501,(0?0.37),4.17e-12,(0?0.2),0.747503499,(0.63?0.87),0.283699322,0.090166881,0.387064882,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,ob,control
29,TwinsUK,OTU,176318,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__;s__,1.3449e-05,0.000397004,Lean,0.0003,0.355364859,(0.17?0.47),1.95e-13,(0?0),0.644635141,(0.53?0.77),0.404735837,0.088850355,0.631770964,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__;s__,ob,control
30,TwinsUK,OTU,199344,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,1.35392e-05,0.000397004,Obese,0.1393,0.191884404,(0?0.31),0.0,(0?0),0.808115596,(0.69?0.94),0.201593651,0.087313298,0.228560706,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,control,ob
31,TwinsUK,OTU,147969,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__,1.46882e-05,0.000417236,Lean,0.5915,1.43e-11,(0?0),0.17925743,(0?0.27),0.82074257,(0.68?0.92),0.168074673,0.187004946,-0.037860546,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__,ob,control
32,TwinsUK,OTU,3195723,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__,1.75993e-05,0.000462957,Lean,0.031,0.261758311,(0.01?0.38),3.23e-13,(0?0.18),0.738241689,(0.62?0.86),0.297142269,0.08373536,0.426813818,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__,ob,control
33,TwinsUK,OTU,4469576,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,1.73335e-05,0.000462957,Obese,0.0988,0.244497839,(0?0.44),0.076661616,(0?0.32),0.678840545,(0.56?0.81),0.340404548,0.191628022,0.297553052,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,control,ob
34,TwinsUK,Genus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira,nan,1.78256e-05,0.000462957,Lean,0.4063,0.03923929,(0?0.33),0.165447185,(0?0.28),0.795313524,(0.67?0.9),0.218442214,0.178876652,0.079131125,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira,ob,control
35,TwinsUK,OTU,189924,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,2.05953e-05,0.000520031,Lean,0.005,0.190853539,(0.01?0.31),1.81e-16,(0?0),0.809146461,(0.69?0.94),0.26575736,-0.020685408,0.572885535,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,ob,control
36,TwinsUK,OTU,174911,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,2.47006e-05,0.000606833,Lean,0.1948,0.169603163,(0?0.37),0.071257347,(0?0.27),0.75913949,(0.63?0.89),0.246378252,0.15647196,0.179812584,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,ob,control
37,TwinsUK,OTU,199279,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__,2.72164e-05,0.000651045,Obese,0.5209,8.16e-11,(0?0.23),0.088382228,(0?0.18),0.911617772,(0.77?1),0.088564944,0.090133513,-0.003137139,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__,control,ob
38,TwinsUK,OTU,194488,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,3.03627e-05,0.000707684,Lean,0.8384,3.1e-14,(0?0),0.083251471,(0?0.18),0.916748529,(0.78?1),0.080082099,0.087295883,-0.014427568,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,ob,control
39,TwinsUK,OTU,3973322,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,3.22082e-05,0.000718575,Lean,0.0084,0.189905496,(0?0.31),7.4e-11,(0?0),0.810094504,(0.69?0.94),0.245942246,0.013146447,0.465591599,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,ob,control
40,TwinsUK,OTU,173996,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,3.2411e-05,0.000718575,Obese,0.2227,0.079014932,(0?0.21),1.17e-25,(0?0.14),0.920985068,(0.79?1),0.097699484,0.01916471,0.157069549,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,control,ob
41,TwinsUK,OTU,4398588,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,3.33787e-05,0.00072241,Lean,0.0058,0.207820188,(0?0.33),5.43e-17,(0?0.15),0.792179812,(0.67?0.92),0.249171376,0.035370474,0.427601805,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,ob,control
42,TwinsUK,OTU,287790,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,3.97059e-05,0.000839364,Lean,0.0137,0.286319538,(0.16?0.4),2.23e-12,(0?0),0.713680462,(0.6?0.84),0.31349242,0.098326824,0.430331191,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,ob,control
43,TwinsUK,OTU,146564,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,4.55818e-05,0.00093079,Lean,0.2989,0.100326862,(0?0.25),0.01637323,(0?0.18),0.883299908,(0.75?1),0.113788065,0.070644905,0.086286319,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,ob,control
44,TwinsUK,OTU,2740950,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__,4.60787e-05,0.00093079,Lean,0.3777,0.054990562,(0?0.19),0.002409331,(0?0.14),0.942600108,(0.81?1),0.058551817,0.031719453,0.053664729,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__,ob,control
45,TwinsUK,OTU,4468466,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,4.77475e-05,0.000942733,Lean,0.0067,0.344160238,(0.16?0.45),2.85e-13,(0?0.13),0.655839762,(0.55?0.77),0.416266751,0.068267954,0.695997593,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,ob,control
46,TwinsUK,OTU,194297,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__,4.87442e-05,0.000942733,Lean,0.0494,0.130671759,(0?0.25),4.07e-14,(0?0),0.869328241,(0.75?1),0.178980364,0.002148076,0.353664575,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__,ob,control
47,TwinsUK,OTU,322835,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__,5.3114e-05,0.001005846,Lean,0.4203,0.037765802,(0?0.34),0.178336322,(0?0.3),0.783897876,(0.66?0.89),0.235304849,0.186903462,0.096802774,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__,ob,control
48,TwinsUK,OTU,197988,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__,6.31857e-05,0.001172159,Lean,0.9395,1.85e-40,(0?0.18),0.065548614,(0?0.16),0.934451386,(0.84?1),0.036606319,0.089152474,-0.10509231,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__,ob,control
49,TwinsUK,OTU,313524,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,7.25508e-05,0.001318974,Lean,0.0272,0.170305355,(0?0.29),3.48e-13,(0?0),0.829694645,(0.71?0.96),0.219932203,0.017625096,0.404614214,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,ob,control
50,TwinsUK,OTU,177032,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,8.06477e-05,0.001409783,Lean,0.1526,0.11696897,(0?0.24),0.0,(0?0.16),0.88303103,(0.76?1),0.135182687,0.036672838,0.197019697,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,ob,control
51,TwinsUK,OTU,199534,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__,7.91317e-05,0.001409783,Lean,0.1867,0.084905963,(0?0.21),6.32e-13,(0?0.14),0.915094037,(0.79?1),0.114423906,0.004423828,0.220000155,,,,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__,ob,control
52,TwinsUK,OTU,2307779,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__,8.27199e-05,0.001418724,Lean,0.0188,0.05090871,(0?0.18),7.08e-11,(0?0.09),0.94909129,(0.82?1),0.128264898,-0.088783858,0.434097513,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__,ob,control
