,Dataset,Taxonomic Level,Traita,Taxonomyb,BMI              p valuec,BMI               q valued,Direction of association (Higher in)e,Permutation p valuef,Ag,A 95% CIh,Ci,C 95% CIj,Ek,E 95% CIl,rMZm,rDZn,2*(rMZ-rDZ)o,Unnamed: 17,Unnamed: 18,Unnamed: 19,taxa_or_feature,lower_in,higher_in
53,TwinsUK,OTU,4153054,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,0.000108848,0.00183227,Lean,0.0504,0.269789201,(0.02?0.38),1.39e-11,(0?0),0.730210799,(0.62?0.85),0.313456919,0.084486536,0.457940766,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,ob,control
54,TwinsUK,OTU,176269,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__,0.000111825,0.001845557,Lean,0.2513,0.131498907,(0?0.28),0.029867079,(0?0.22),0.838634014,(0.72?0.96),0.17645627,0.089819454,0.173273632,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__,ob,control
55,TwinsUK,OTU,193769,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__gnavus,0.000115728,0.001845557,Obese,0.2008,0.119351436,(0?0.24),7.09e-13,(0?0.17),0.880648564,(0.76?1),0.132188313,0.047264837,0.169846952,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__gnavus,control,ob
56,TwinsUK,OTU,188966,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__;s__,0.000115346,0.001845557,Lean,0.5898,2.45e-14,(0?0),3.02e-13,(0?0),1.0,(1?1),-0.030396272,-0.043725757,0.02665897,,,,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__;s__,ob,control
57,TwinsUK,OTU,4370941,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,0.00012388,0.001941498,Lean,0.0014,0.284550124,(0.11?0.4),9.03e-14,(0?0.12),0.715449876,(0.6?0.84),0.353366923,0.037268823,0.6321962,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,ob,control
58,TwinsUK,OTU,836693,k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98;f__;g__;s__,0.000140977,0.002002314,Lean,0.002,0.296746912,(0.12?0.41),1.43e-15,(0?0.12),0.703253088,(0.59?0.83),0.365292524,0.041811291,0.646962467,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98;f__;g__;s__,ob,control
59,TwinsUK,Order,k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA;98,nan,0.000140977,0.002002314,Lean,0.002,0.296746912,(0.12?0.41),1.43e-15,(0?0.12),0.703253088,(0.59?0.83),0.365292524,0.041811291,0.646962467,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA;98,ob,control
60,TwinsUK,Family,k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA;98;f__,nan,0.000140977,0.002002314,Lean,0.002,0.296746912,(0.12?0.41),1.43e-15,(0?0.12),0.703253088,(0.59?0.83),0.365292524,0.041811291,0.646962467,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA;98;f__,ob,control
61,TwinsUK,Genus,k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA;98;f__;g__,nan,0.000140977,0.002002314,Lean,0.002,0.296746912,(0.12?0.41),1.43e-15,(0?0.12),0.703253088,(0.59?0.83),0.365292524,0.041811291,0.646962467,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA;98;f__;g__,ob,control
62,TwinsUK,OTU,300374,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__,0.000135433,0.002002314,Lean,0.0041,0.274870175,(0.11?0.39),2.69e-27,(0?0),0.725129825,(0.61?0.85),0.362123026,0.00708831,0.710069434,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__,ob,control
63,TwinsUK,OTU,44151,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,0.000133181,0.002002314,Lean,0.2859,0.116145501,(0?0.31),0.061376993,(0?0.23),0.822477506,(0.69?0.95),0.184674182,0.118826206,0.131695952,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,ob,control
64,TwinsUK,OTU,4421273,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__,0.000221164,0.003092888,Lean,0.0593,0.293757816,(0?0.4),2.57e-13,(0?0.26),0.706242184,(0.6?0.82),0.326146848,0.129214741,0.393864214,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__,ob,control
65,TwinsUK,OTU,540055,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,0.000251909,0.003417691,Lean,0.066,0.292364943,(0?0.43),0.023187725,(0?0.28),0.684447331,(0.57?0.82),0.322754901,0.169304811,0.306900179,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,ob,control
66,TwinsUK,OTU,110192,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__,0.000248809,0.003417691,Lean,0.0044,0.106651589,(0?0.23),2.88e-14,(0?0.11),0.893348411,(0.77?1),0.186818034,-0.061588034,0.496812135,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__,ob,control
67,TwinsUK,OTU,180473,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,0.000262983,0.003515461,Lean,0.1323,0.171018443,(0?0.29),9.08e-15,(0?0.19),0.828981557,(0.71?0.96),0.179816293,0.067390036,0.224852515,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,ob,control
68,TwinsUK,OTU,538322,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,0.000286549,0.003774967,Lean,0.1806,0.184481331,(0?0.31),0.005212514,(0?0.22),0.810306156,(0.69?0.95),0.192157433,0.099581897,0.18515107,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,ob,control
69,TwinsUK,OTU,207487,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__,0.000298181,0.0038721,Lean,0.1373,0.111611171,(0?0.23),1.44e-13,(0?0),0.888388829,(0.77?1),0.142792361,0.016709131,0.252166458,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__,ob,control
70,TwinsUK,OTU,185034,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,0.000310804,0.003979165,Lean,0.7941,7.42e-14,(0?0.21),0.101772767,(0?0.2),0.898227233,(0.78?0.99),0.066853226,0.125903729,-0.118101008,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,ob,control
71,TwinsUK,OTU,197004,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,0.0003178,0.004012222,Obese,0.0772,0.098637043,(0?0.23),1.43e-14,(0?0.13),0.901362957,(0.77?1),0.13868971,-0.002169171,0.281717763,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,control,ob
72,TwinsUK,OTU,819353,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,0.000325977,0.004059078,Lean,0.04,0.315404525,(0.03?0.43),1.74e-16,(0?0.21),0.684595475,(0.57?0.81),0.343630509,0.126721615,0.433817787,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,ob,control
73,TwinsUK,Genus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;Mogibacteriaceae;g__,nan,0.000367254,0.004511267,Lean,0.4516,0.02457828,(0?0.27),0.104497264,(0?0.21),0.870924456,(0.73?0.97),0.129086789,0.120408261,0.017357057,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;Mogibacteriaceae;g__,ob,control
74,TwinsUK,OTU,180042,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,0.000377829,0.004579283,Lean,0.315,0.096589108,(0?0.27),0.045337443,(0?0.21),0.858073449,(0.73?0.98),0.148509691,0.092723092,0.111573198,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,ob,control
75,TwinsUK,OTU,216710,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,0.00040376,0.004816193,Lean,0.3029,0.062213944,(0?0.18),1.95e-11,(0?0.13),0.937786056,(0.82?1),0.083631482,0.007250542,0.15276188,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,ob,control
76,TwinsUK,Genus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea,nan,0.000415226,0.004816193,Obese,0.4735,0.006354707,(0?0.24),0.098310947,(0?0.2),0.895334346,(0.76?0.99),0.106465398,0.10068495,0.011560897,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea,control,ob
77,TwinsUK,Genus,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,nan,0.000418569,0.004816193,Lean,0.5186,3.34e-11,(0?0.29),0.197038494,(0?0.29),0.802961506,(0.71?0.9),0.162989272,0.217513764,-0.109048983,,,,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,ob,control
78,TwinsUK,Family,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,nan,0.000418271,0.004816193,Lean,1,0.0,(0?0),0.196985542,(0.1?0.29),0.803014458,(0.71?0.9),0.162985973,0.217416585,-0.108861223,,,,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,ob,control
79,TwinsUK,OTU,194733,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,0.000480155,0.005455767,Obese,0.234,0.150502442,(0?0.28),0.00792654,(0?0.2),0.841571018,(0.72?0.97),0.1714935,0.079753516,0.183479967,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,control,ob
80,TwinsUK,OTU,2835813,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,0.000494113,0.005545046,Lean,0.0206,0.230015696,(0?0.35),3.18e-14,(0?0.18),0.769984304,(0.65?0.9),0.262278104,0.06844832,0.387659568,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,ob,control
81,TwinsUK,OTU,197698,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,0.00054646,0.005925379,Lean,0.2926,0.112678713,(0?0.3),0.049203651,(0?0.22),0.838117636,(0.7?0.96),0.156759621,0.10886147,0.095796304,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,ob,control
82,TwinsUK,OTU,204126,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__,0.00054756,0.005925379,Lean,0.5001,3.82e-10,(0?0),0.021459188,(0?0.12),0.978540811,(0.86?1),-0.013773506,0.045856613,-0.119260237,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__,ob,control
83,TwinsUK,OTU,178478,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__,0.000536006,0.005925379,Lean,0.6972,5.87e-13,(0?0.23),0.098929738,(0?0.19),0.901070262,(0.77?1),0.077116924,0.111836794,-0.069439741,,,,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__,ob,control
84,TwinsUK,OTU,194597,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,0.000565864,0.006051416,Lean,0.01,0.229093575,(0.01?0.35),2.56e-13,(0?0),0.770906425,(0.65?0.9),0.272783162,0.048677934,0.448210456,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,ob,control
85,TwinsUK,OTU,197864,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,0.000595696,0.006296364,Obese,0.2368,0.138477682,(0?0.26),0.000626391,(0?0.19),0.860895926,(0.74?0.99),0.148110185,0.069524608,0.157171154,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,control,ob
86,TwinsUK,OTU,332929,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,0.000667073,0.006969759,Obese,0.4068,0.042653959,(0?0.2),0.024056317,(0?0.15),0.933289724,(0.8?1),0.069729677,0.046390329,0.046678697,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,control,ob
87,TwinsUK,OTU,183681,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,0.000687328,0.007099787,Lean,0.0796,0.274987921,(0?0.4),0.010998206,(0?0.27),0.714013873,(0.6?0.85),0.292394156,0.149010498,0.286767315,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,ob,control
88,TwinsUK,OTU,193191,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__,0.0007017,0.007166797,Lean,0.3197,0.094941654,(0?0.26),0.039734579,(0?0.2),0.865323767,(0.74?0.98),0.147048192,0.083208184,0.127680017,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__,ob,control
89,TwinsUK,OTU,571642,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,0.000722149,0.007293706,Lean,1,0.0,(0?0),0.141152469,(0?0.23),0.858847531,(0.66?0.95),0.214249955,0.091397007,0.245705895,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,ob,control
90,TwinsUK,OTU,2318497,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__,0.000734575,0.007337681,Lean,0.3945,0.052945405,(0?0.31),0.126184706,(0?0.25),0.820869889,(0.69?0.93),0.184933945,0.15281657,0.06423475,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__,ob,control
91,TwinsUK,OTU,187212,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__,0.000767495,0.007510773,Obese,0.2655,0.120919525,(0?0.24),3.52e-11,(0?0),0.879080475,(0.76?1),0.131928115,0.056359793,0.151136645,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__,control,ob
92,TwinsUK,OTU,182167,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,0.000768429,0.007510773,Lean,0.438,0.031091779,(0?0.25),0.084976664,(0?0.2),0.883931557,(0.75?0.99),0.120675676,0.101477438,0.038396476,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,ob,control
93,TwinsUK,OTU,4465124,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__,0.000791217,0.007623124,Lean,0.0017,0.204230611,(0.04?0.33),7.63e-14,(0?0.1),0.795769389,(0.67?0.92),0.298882679,-0.038431715,0.674628789,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__,ob,control
94,TwinsUK,OTU,197364,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,0.000796696,0.007623124,Obese,0.2209,0.083907097,(0?0.21),1.58e-11,(0?0),0.916092903,(0.79?1),0.097500257,0.026747975,0.141504563,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,control,ob
95,TwinsUK,OTU,174792,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,0.000815588,0.007722594,Obese,0.48,0.006648502,(0?0.26),0.112648512,(0?0.21),0.880702986,(0.74?0.98),0.120414402,0.117144382,0.00654004,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,control,ob
96,TwinsUK,OTU,187404,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,0.000828562,0.007764568,Lean,0.0803,0.119114339,(0?0.24),0.0,(0?0),0.880885661,(0.76?1),0.163966023,0.001244247,0.32544355,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,ob,control
97,TwinsUK,OTU,179609,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,0.000839108,0.007783157,Obese,0.0707,0.053004759,(0?0.18),1.77e-13,(0?0.1),0.946995241,(0.82?1),0.109361921,-0.049023399,0.316770638,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,control,ob
98,TwinsUK,Genus,k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter,nan,0.000850299,0.00780729,Lean,0.1481,0.201168189,(0?0.44),0.121280718,(0?0.33),0.677551092,(0.56?0.81),0.322059766,0.225297847,0.193523839,,,,k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter,ob,control
99,TwinsUK,OTU,199286,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,0.000873177,0.007937181,Lean,0.0397,0.256030504,(0.02?0.37),1.84e-12,(0?0),0.743969496,(0.63?0.87),0.303608278,0.068333016,0.470550523,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,ob,control
100,TwinsUK,OTU,193969,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__,0.000902964,0.008126673,Lean,0.0363,0.074412208,(0?0.21),6.09e-15,(0?0),0.925587792,(0.79?1),0.131587929,-0.036536014,0.336247886,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__,ob,control
101,TwinsUK,OTU,198071,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,0.00095002,0.008466358,Obese,0.2954,0.108854531,(0?0.26),0.018082911,(0?0.19),0.873062558,(0.74?1),0.128594264,0.07465327,0.107881988,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,control,ob
102,TwinsUK,OTU,4438983,k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__,0.000969721,0.008475734,Lean,0.1299,0.218313537,(0?0.44),0.104535551,(0?0.33),0.677150913,(0.56?0.81),0.322564461,0.216999764,0.211129395,,,,k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__,ob,control
103,TwinsUK,OTU,147085,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,0.000962803,0.008475734,Obese,0.5505,1.29e-11,(0?0),0.055451149,(0?0.15),0.944548851,(0.81?1),0.041521251,0.065869699,-0.048696896,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,control,ob
