,Taxon,Variable,Value,Coefficient,P-value (nominal),Q-value,Mean Taxon Abundance,Median Taxon Abundance,names
0,Bacteria|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae,Disease,UC,-0.005704633,0.01758085,0.1989147,0.002537948,0,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae
1,Bacteria|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae,Disease,Healthy,,,,0.008684605,0,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae
2,Bacteria|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae,Disease,CD,,,,0.003549257,0,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae
3,Bacteria|Firmicutes|Clostridia,Disease,UC,-0.1429138,0.01225745,0.1604611,0.768761296,0.789064217,k__Bacteria;p__Firmicutes;c__Clostridia
4,Bacteria|Firmicutes|Clostridia,Disease,Healthy,,,,0.942555072,0.945356783,k__Bacteria;p__Firmicutes;c__Clostridia
5,Bacteria|Firmicutes|Clostridia,Disease,CD,-0.1575302,0.004744134,0.08257921,0.702897952,0.717086848,k__Bacteria;p__Firmicutes;c__Clostridia
6,Bacteria|Firmicutes|Clostridia|Clostridiales,Disease,UC,-0.1401638,0.01587615,0.1890813,0.768582107,0.788912216,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales
7,Bacteria|Firmicutes|Clostridia|Clostridiales,Disease,Healthy,,,,0.941860356,0.944425819,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales
8,Bacteria|Firmicutes|Clostridia|Clostridiales,Disease,CD,-0.1542224,0.007044486,0.1104799,0.702624606,0.712470868,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales
9,Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae,Disease,UC,0.03810167,0.000400773,0.01442782,0.026416177,0.007230708,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae
10,Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae,Disease,Healthy,,,,0.012718645,0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae
11,Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae,Disease,CD,0.03213189,0.001466374,0.03746349,0.022838516,0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae
12,Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium,Disease,UC,0.03289844,0.002508162,0.05757868,0.024332221,0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium
13,Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium,Disease,Healthy,,,,0.011430979,0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium
14,Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium,Disease,CD,0.02742871,0.007748049,0.1168848,0.022106252,0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium
15,Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|unclassified,Disease,UC,0.0124971,0.01794677,0.2001949,0.007142286,0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__unclassified
16,Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|unclassified,Disease,Healthy,,,,0.002589381,0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__unclassified
17,Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|unclassified,Disease,CD,0.01297895,0.006332415,0.1013186,0.007521456,0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__unclassified
18,Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia,Disease,UC,-0.1016833,0.000342505,0.0132324,0.15326286,0.154901956,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia
19,Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia,Disease,Healthy,,,,0.254963065,0.252192759,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia
20,Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia,Disease,CD,-0.1326454,2.22E-06,0.000195727,0.110510472,0.080900408,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia
21,Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae,Disease,UC,,,,0.385694184,0.41715528,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
22,Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae,Disease,Healthy,,,,0.517935764,0.496710864,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
23,Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae,Disease,CD,-0.1157554,0.01763717,0.1981368,0.298563941,0.261691571,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
24,Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Phascolarctobacterium,Disease,UC,-0.06380935,0.000501931,0.01728388,0.036589402,0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium
25,Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Phascolarctobacterium,Disease,Healthy,,,,0.092221112,0.082292363,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium
26,Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Phascolarctobacterium,Disease,CD,-0.06189,0.000621222,0.01929441,0.036623293,0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium
27,Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|unclassified,Disease,UC,-0.02150057,0.000388132,0.01429769,0.013437942,0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__unclassified
28,Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|unclassified,Disease,Healthy,,,,0.037771939,0.044079566,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__unclassified
29,Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|unclassified,Disease,CD,-0.01697543,0.002174624,0.051412,0.017718349,0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__unclassified
30,Bacteria|Proteobacteria,Disease,UC,,,,0.122698749,0.081573193,k__Bacteria;p__Proteobacteria
31,Bacteria|Proteobacteria,Disease,Healthy,,,,0.083493876,0.042138708,k__Bacteria;p__Proteobacteria
32,Bacteria|Proteobacteria,Disease,CD,0.09477173,0.01177039,0.1580026,0.174974666,0.106199513,k__Bacteria;p__Proteobacteria
33,Bacteria|Proteobacteria|Gammaproteobacteria,Disease,UC,,,,0.105429469,0.068256402,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria
34,Bacteria|Proteobacteria|Gammaproteobacteria,Disease,Healthy,,,,0.063116469,0.019228405,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria
35,Bacteria|Proteobacteria|Gammaproteobacteria,Disease,CD,0.1074596,0.004918574,0.08468502,0.163616165,0.091950484,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria
36,Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae,Disease,UC,,,,0.080877134,0.035704271,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae
37,Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae,Disease,Healthy,,,,0.039848847,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae
38,Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae,Disease,CD,0.09880716,0.01445475,0.1802861,0.146401526,0.066372397,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae
39,Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Escherichia/Shigella,Disease,UC,,,,0.05717103,0.018597947,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella
40,Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Escherichia/Shigella,Disease,Healthy,,,,0.028749168,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella
41,Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Escherichia/Shigella,Disease,CD,0.07105142,0.01933331,0.2126664,0.100209114,0.035014153,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella
42,Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|unclassified,Disease,UC,,,,0.040123612,0.018357243,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__unclassified
43,Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|unclassified,Disease,Healthy,,,,0.023120674,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__unclassified
44,Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|unclassified,Disease,CD,0.05074183,0.01024613,0.1436271,0.072455036,0.040115122,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__unclassified
